name,size,desc_code,OBJECTID,TA12,NAME_2,Shape_Leng,Shape_Area,icon_url
Pouakai,"5",HILL,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Patuha,"5",HILL,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Waiwhakaiho River,"5",STRM,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Kaimiro,"5",LOC,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Waiwhakaiho River,"7",STRM,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Korito,"5",LOC,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Egmont Village,"6",POPL,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Inglewood,"6",POPL,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Stratford,"8",TOWN,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Wharehuia,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Midhirst,"6",POPL,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Tuna,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Toko,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Douglas,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Huiroa,"5",LOC,1,"034",Stratford District,410648.529087807750329,2163413386.719323158264160,
Tariki,"5",LOC,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Manganui River,"7",STRM,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Ratapiko,"5",LOC,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
Kaimata,"5",LOC,3,"033",New Plymouth District,376669.871202928421553,2205397652.657373428344727,
